location,jokomaruf,prabowosandi
"Abu Dhabi, Uni Emirat Arab (100%)",1.124,1.645
"Abuja, Nigeria (100%)",1.023,422
"Addis Ababa, Ethiopia (100%)",109,42
"Alger, Aljazair (100%)",477,264
"Amman, Yordania (100%)",216,315
"Ankara, Turki (100%)",278,553
"Antananarivo, Madagaskar (100%)",52,32
"Astana, Kazakhstan (100%)",48,14
"Athena, Yunani (80%)",298,66
"Baghdad, Irak (100%)",153,89
"Baku, Azerbaijan (100%)",58,27
"Bandar Seri Begawan, Brunei Darussalam (96,3%)",8.051,3.56
"Bangkok, Thailand (100%)",1.032,322
"Beijing, Republik Rakyat Tiongkok (100%)",1.458,327
"Beirut, Lebanon (100%)",110,61
"Beograd, Serbia (100%)",59,17
"Berlin, Jerman (100%)",1.384,429
"Bern, Swiss (100%)",760,175
"Bogota, Kolombia (100%)",62,9
"Brasilia, Brasil (100%)",154,20
"Bratislava, Slowakia (100%)",45,12
"Brussels, Belgia (100%)",806,175
"Bucharest, Rumania (100%)",112,11
"Budapest, Hongaria (100%)",227,89
"Buenos Aires, Argentina (100%)",124,20
"Canberra, Australia (100%)",582,173
"Cape Town, Afrika Selatan (100%)",77,35
"Caracas, Venezuela",0,0
"Chicago, Amerika Serikat (100%)",1.18,134
"Colombo, Sri Langka (100%)",298,59
"Dakar, Senegal (100%)",188,201
"Damascus, Suriah (100%)",48,83
"Dar-Es Salaam, Tanzania (100%)",67,9
"Darwin, Australia (100%)",507,110
"Davao City, Filipina (100%)",542,435
"Den Haag, Belanda (100%)",5.247,1.09
"Dhaka, Bangladesh (100%)",143,73
"Dili, Timor Leste (100%)",2.739,578
"Doha, Qatar (100%)",1.494,2.632
"Dubai, Uni Emirat Arab (100%)",1.738,1.147
"Frankfurt, Jerman (100%)",4.353,796
"Guangzhou, Tiongkok (100%)",1.789,167
"Hamburg, Jerman (100%)",1.568,439
"Hanoi, Vietnam (100%)",161,63
"Harare, Zimbabwe (100%)",163,56
"Havana, Kuba (100%)",63,18
"Helsinki, Finlandia (100%)",344,64
"Ho Chi Minh City, Vietnam (100%)",327,111
"Hong Kong, Republik Rakyat Tiongkok (92%)",36.431,5.59
"Houston, Amerika Serikat (100%)",2.752,332
"Islamabad, Pakistan (100%)",81,225
"Istanbul, Turki (100%)",281,568
"Jeddah, Arab Saudi (100%)",3.821,9.471
"Johor Bahru, Malaysia (100%)",57.012,39.432
"Kabul, Afganistan (100%)",18,13
"Kairo, Mesir (100%)",1.597,4.739
"Karachi, Pakistan (100%)",27,174
"Khartoum, Sudan (100%)",160,646
"Kiev, Ukrania (100%)",42,8
"Kopenhagen, Denmark (100%)",440,76
"Kota Kinabalu, Malaysia (100%)",71.107,15.542
"Kuala Lumpur, Malaysia (87,5%)",60.575,42.947
"Kuching, Malaysia (99,6%)",44.992,26.461
"Kuwait City, Kuwait (100%)",1.294,1.177
"Lima, Peru (100%)",64,15
"Lisabon, Portugal (100%)",158,28
"London, Inggris (100%)",2.968,942
"Los Angeles, Amerika Serikat (100%)",4.27,316
"Madrid, Spanyol (100%)",588,109
"Manama, Bahrain (100%)",489,406
"Manila, Filipina (100%)",1.346,114
"Maputo, Mozambik (100%)",77,32
"Marseille, Perancis (100%)",372,95
"Melbourne, Australia (100%)",7.229,901
"Mexico City, Mexico (100%)",110,26
"Moskow, Rusia (100%)",404,149
"Mumbai, India (100%)",210,90
"Muscat, Oman (100%)",629,508
"Nairobi, Kenya (100%)",340,108
"New Delhi, India (100%)",176,106
"New York, Amerika Serikat",0,0
"Noumea, Perancis (100%)",217,26
"Osaka, Jepang (100%)",2.066,1.356
"Oslo, Norwegia (100%)",512,116
"Ottawa, Kanada (100%)",389,70
"Panama City, Panama (100%)",69,25
"Paramaribo, Suriname (100%)",213,89
"Paris, Perancis (100%)",1.546,266
"Penang, Malaysia (100%)",23.703,7.987
"Perth, Australia (100%)",3.837,609
"Phnom Penh, Kamboja (100%)",3.018,202
"Port Moresby, Papua Nugini (100%)",595,150
"Praha, Republik Ceko (100%)",200,34
"Pretoria, Afrika Selatan (100%)",100,41
"Pyong Yang, Korea Utara (100%)",21,3
"Quito, Ekuador (100%)",46,10
"Rabat, Morocco (100%)",154,121
"Riyadh, Arab Saudi (100%)",3.576,5.133
"Roma, Italia (100%)",880,181
"San Francisco, Amerika Serikat",0,0
"Sana'a, Yaman (100%)",161,1.692
"Santiago, Chile (100%)",99,24
"Sarajevo, Bosnia-Herzegovina (50%)",4,1
"Seoul, Korea Selatan (100%)",4.797,2.297
"Shanghai, Republik Rakyat Tiongkok (100%)",2.167,506
"Singapura, Singapura (100%)",42.011,5.9
"Sofia, Bulgaria (100%)",49,9
"Songkhla, Thailand (100%)",152,142
"Stockholm, Swedia (100%)",658,107
"Suva, Fiji (100%)",235,117
"Sydney, Australia (100%)",11.665,1.919
"Taipei, Taiwan (100%)",71.121,11.172
"Tashkent, Uzbekistan (100%)",51,18
"Tawau, Sabah (100%)",36.045,7.637
"Tehran, Iran (100%)",230,23
"Tokyo, Jepang (100%)",5.955,3.534
"Toronto, Kanada (100%)",1.549,214
"Tripoli, Libya (100%)",4,40
"Tunis, Tunisia (100%)",66,66
"Vancouver, Kanada (100%)",2.089,197
"Vanimo, Papua Nugini (100%)",456,236
"Vatikan, Vatikan (100%)",1.172,12
"Vientiane, Laos (100%)",111,63
"Warsawa, Polandia (100%)",226,121
"Washington D.C., Amerika Serikat (100%)",1.114,352
"Wellington, Selandia Baru (100%)",2.084,313
"Wina, Austria (100%)",528,128
"Windhoek, Namibia (100%)",102,33
"Yangon, Myanmar (100%)",151,51
"Zagreb, Kroasia (100%)",38,8
